name_lci,animal,agri,processing,packing,transport,distri,consumption,total
"saint-felicien cheese, from cow's milk",cow,3.9966593,0.28571008,0.26233269,0.21100323,0.035969873,0.0066736979,4.798348870900001
"saint-marcellin cheese, from cow's milk",cow,3.8830921,0.29152265,0.26233269,0.21100323,0.035969873,0.0066736979,4.6905942409
"saint-nectaire cheese, from cow's milk",cow,4.3948473,0.47089685,0.26233269,0.21100323,0.035969873,0.0066736979,5.381723640900001
"saint-nectaire cheese, from cow's milk, milk collected in an unique farm",cow,4.3948473,0.47089685,0.26233269,0.21100323,0.035969873,0.0066736979,5.381723640900001
"saint-nectaire cheese, from cow's milk, milks collected in many farms",cow,4.3948473,0.47089685,0.26233269,0.21100323,0.035969873,0.0066736979,5.381723640900001
"saint-paulin cheese, from cow's milk (semi-hard cheese)",cow,4.7029809,0.44092352,0.26233269,0.21100323,0.035969873,0.0066736979,5.6598839109000005
"sainte maure cheese, from goat's milk",goat,5.3506867,0.29382052,0.26233269,0.21100323,0.035969873,0.0066736979,6.1604867109
"salers cheese, from cow's milk",cow,4.988587,0.4133165,0.26233269,0.21100323,0.035969873,0.0066736979,5.9178829909
"selles-sur-cher cheese, from goat's milk",goat,5.643875,0.29382052,0.26233269,0.21100323,0.035969873,0.0066736979,6.4536750109000005
"semi-hard cheese, from ewe's milk",ewe,3.8826529,0.38650212,0.26233269,0.21100323,0.035969873,0.0066736979,4.785134510900001
"soft -ripened washed, bloomy and coloured rind cheese",cow,4.3881168,0.26335405,0.26233269,0.21100323,0.035969873,0.0066736979,5.1674503409
"soft ripened cheese with bloomy rind, from ewe's milk, camembert-type cheese",ewe,4.6819877,0.29382052,0.26233269,0.21100323,0.035969873,0.0066736979,5.4917877109
soft-ripened cheese with bloomy rind (camembert-type cheese),cow,4.6122069,0.25038755,0.26233269,0.21100323,0.035969873,0.0066736979,5.378573940900001
"soft-ripened cheese with bloomy rind, from goat's milk, camembert-type cheese",goat,6.7433312,0.29382052,0.26233269,0.21100323,0.035969873,0.0066736979,7.5531312109
"soft-ripened cheese, double cream, around 30% fat",cow,4.4839498,0.2579886,0.26233269,0.21100323,0.035969873,0.0066736979,5.257917890900001
"soft-ripened cheese, from goat's milk, from pasteurised milk",goat,6.7433312,0.29382052,0.26233269,0.21100323,0.035969873,0.0066736979,7.5531312109
"soft-ripened cheese, triple cream, around 40% fat",cow,4.3881168,0.26335405,0.26233269,0.21100323,0.035969873,0.0066736979,5.1674503409
"soft-ripened round cheese with bloomy rind, 5 to 11% fat, camembert-type cheese, reduced fat",cow,4.1313259,0.27810903,0.26233269,0.21100323,0.035969873,0.0066736979,4.9254144209
"soft-ripened round cheese with bloomy rind, around 11% fat, coulommiers-type cheese, reduced fat",cow,4.1801446,0.27497918,0.26233269,0.21100323,0.035969873,0.0066736979,4.9711032709000005
"soft-ripened round cheese with bloomy rind, around 5% fat, camembert-type cheese, reduced fat",cow,4.2070668,0.2731907,0.26233269,0.21100323,0.035969873,0.0066736979,4.9962369909
"soft-ripened washed-rind cheese, from pasteurised milk (vieux pané-type cheese)",cow,4.591351,0.25128179,0.26233269,0.21100323,0.035969873,0.0066736979,5.358612280900001
"soft-ripened washed-rind cheese, reduced fat, around 13% fat",cow,4.3881168,0.26335405,0.26233269,0.21100323,0.035969873,0.0066736979,5.1674503409
tomme cheese (pdo) from the french bauges munntains,cow,4.9448384,0.23116136,0.26233269,0.21100323,0.035969873,0.0066736979,5.6919792509
"tomme cheese, from cow's milk",cow,4.9117612,0.23339697,0.26233269,0.21100323,0.035969873,0.0066736979,5.661137660900001
"tomme cheese, from mountain or savoy",cow,4.8654665,0.23563257,0.26233269,0.21100323,0.035969873,0.0066736979,5.6170785609000005
"tomme cheese, reduced fat, around 13% fat",cow,4.8654665,0.23563257,0.26233269,0.21100323,0.035969873,0.0066736979,5.6170785609000005
"uncured soft cheese, spreadable, around 20% fat, in a tub",cow,3.7250567,0.30091218,0.26233269,0.21100323,0.035969873,0.0066736979,4.5419483709
"uncured soft cheese, spreadable, around 25% fat, in a tub",cow,4.1313259,0.27810903,0.26233269,0.21100323,0.035969873,0.0066736979,4.9254144209
"uncured soft cheese, spreadable, around 30-40% fat, flavoured (ex : garlic and herbs)",cow,4.1313259,0.27810903,0.26233269,0.21100323,0.035969873,0.0066736979,4.9254144209
"vacherin cheese or mont d'or cheese, from cow's milk",cow,4.334704,0.26648389,0.26233269,0.21100323,0.035969873,0.0066736979,5.117167380900001
"valençay cheese, from goat's milk",goat,5.7904692,0.29382052,0.26233269,0.21100323,0.035969873,0.0066736979,6.6002692109000005
"époisses cheese, from cow's milk",cow,4.2004027,0.27363782,0.26233269,0.21100323,0.035969873,0.0066736979,4.9900200109
